customerID,companyName,contactName,contactTitle,city,country,segment,industry,registrationDate,creditLimit
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Retail,Food & Beverage,2018-03-09,467618.49
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,Madrid,Spain,Corporate,Transportation,2019-02-25,20708.76
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Stavern,Norway,Wholesale,Retail,2018-02-04,385641.17
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA,Wholesale,Education,2018-12-02,496464.02
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,London,UK,Wholesale,Transportation,2018-09-19,435462.04
SIMOB,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark,Wholesale,Technology,2019-08-11,44723.75
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,Paris,France,Retail,Retail,2020-06-09,328499.38
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA,Government,Hospitality,2018-03-24,93344.45
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Retail,Technology,2019-06-26,266777.06
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,Portland,USA,Small Business,Food & Beverage,2018-12-17,379308.81
THECR,The Cracker Box,Liu Wong,Marketing Assistant,Butte,USA,Government,Transportation,2019-06-13,338382.43
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Retail,Technology,2020-05-19,268307.14
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico City,Mexico,Small Business,Healthcare,2019-11-05,233009.51
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,Sao Paulo,Brazil,Small Business,Manufacturing,2018-02-07,98297.82
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,Kirkland,USA,Corporate,Food & Beverage,2020-04-08,405691.7
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Denmark,Wholesale,Construction,2019-06-05,384196.47
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Corporate,Healthcare,2018-06-21,107010.4
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Corporate,Construction,2019-07-06,21620.26
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Stuttgart,Germany,Retail,Food & Beverage,2019-04-02,126143.4
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Corporate,Technology,2020-05-22,222286.59
WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Retail,Healthcare,2019-02-15,378420.93
WHITC,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,Corporate,Retail,2020-01-09,254428.45
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Helsinki,Finland,Government,Healthcare,2020-02-02,408814.2
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Warszawa,Poland,Retail,Education,2020-06-13,290850.03
VGWZN,Thaman Ltd,Balveer Kota,Sales Associate,Bahraich,India,Small Business,Food & Beverage,2021-12-05,141395.94
TEROB,"Moore, Watson and Campbell",George Harper,Order Administrator,Cameronville,Canada,Retail,Technology,2022-03-08,197522.13
KDJTM,Abbott-Wood,Josh Wong,Marketing Manager,Jonathanshire,UK,Small Business,Retail,2022-12-22,202415.16
OZODG,雨林木风计算机传媒有限公司,唐凯,Marketing Manager,淑珍县,China,Small Business,Hospitality,2024-02-04,230945.4
CSEGR,"Quiroga, Leiva and Franco",Sr(a). Mia Valentina Flores,Supply Chain Manager,Formosa,Argentina,Corporate,Hospitality,2018-02-19,228755.13
SOMWI,Gole-Kala,Vedika Handa,Owner,Durgapur,India,Corporate,Healthcare,2019-03-01,963973.68
ZMGPF,Richard-Garcia,Sandy Stephenson,Marketing Manager,Lake Matthewberg,USA,Small Business,Manufacturing,2022-06-23,98262.13
JGNMC,Castro Cirino e Filhos,Eloah Silveira,Logistics Coordinator,Aparecida de Jesus,Brazil,Small Business,Education,2020-09-24,229010.97
KOFDG,Hellwig,Loni Hölzenbecher MBA.,Supply Chain Manager,Pfaffenhofen an der Ilm,Germany,Small Business,Technology,2019-10-17,77322.11
FOGOY,Mckee-Lee,Laura Alexander,Order Administrator,Kimberlyhaven,USA,Corporate,Transportation,2021-12-14,968182.85
MEUES,Proyectos Feliciano-Zedillo,Fidel Amelia Rosales,Operations Manager,San Perla de la Montaña,Mexico,Corporate,Agriculture,2023-05-02,990807.36
NVBVB,Karppinen ry,Helena Tikka,Owner,Rautavaara,Finland,Small Business,Healthcare,2018-09-09,21652.15
FLBQY,Velasquez LLC,Jennifer Sanders,Operations Manager,Joeland,USA,Government,Food & Beverage,2020-10-23,112563.48
ANHZA,Dias S/A,Dra. Lívia Vieira,Logistics Coordinator,Carvalho,Brazil,Government,Retail,2018-04-15,303331.21
DENVG,Horton-Taylor,Joan Smith,Sales Associate,North Jonathanberg,USA,Corporate,Technology,2022-02-11,486047.86
SHVCZ,"Lynch, Henderson and Parsons",Bryan Allen,VP of Purchasing,Brownfort,USA,Wholesale,Hospitality,2022-06-22,318826.77
MQSCV,Schüler GmbH & Co. OHG,Univ.Prof. Claudio Hornich MBA.,VP of Purchasing,Schwabmünchen,Germany,Wholesale,Construction,2020-08-23,733563.69
XXFXR,"Huybrechts, Schepens en Casier CV",Lars Luyten,Supply Chain Manager,Sainte-Marie-Chevigny,Belgium,Small Business,Food & Beverage,2022-02-25,231419.02
HOREW,遠藤水産合同会社,岡本 直子,Owner,三宅島三宅村,Japan,Retail,Construction,2018-02-14,40326.93
VYHOO,Minería MG S.L.,Benita Arregui Ortuño,Sales Associate,Segovia,Spain,Government,Agriculture,2019-04-25,730286.7
DZSNZ,"Shetty, Srinivas and Gopal",Dev Shankar,Owner,Durg,India,Corporate,Healthcare,2019-07-06,846740.92
TYKUA,Young LLC,Molly Matthews-Sharp,Accounting Manager,Smithborough,UK,Wholesale,Transportation,2020-02-23,380687.51
YLRRC,Sölzer GmbH,Betty Koch,Supply Chain Manager,Lippstadt,Germany,Corporate,Healthcare,2023-07-28,727453.11
ESQTI,Morgan-Lopez,Holly Salinas,Purchasing Manager,Lauriechester,USA,Corporate,Manufacturing,2018-08-05,472499.07
CCLON,"Gole, Memon and Nagi",Fariq Narang,Purchasing Manager,Farrukhabad,India,Corporate,Education,2021-05-05,576508.82
UWAKU,"Simmons, Norris and Bell",Sergio Gomez,Logistics Coordinator,Hillton,Canada,Retail,Healthcare,2018-07-25,145130.31
JDHMB,"Sullivan, Palmer and Brady",Andre Allison,Sales Associate,Johnsonland,USA,Corporate,Manufacturing,2019-10-08,510019.75
GGQPF,"Diaz, Reyes and Bradley",Meghan Rush,Purchasing Manager,Scottland,USA,Corporate,Food & Beverage,2022-04-20,951382.29
QUIIV,"Owen, McLean and White",Laura Newman,VP of Purchasing,Westonside,UK,Retail,Retail,2018-11-19,78606.64
SMEKI,Padilla-Lewis,Melissa Lutz,Logistics Coordinator,North Derek,Canada,Government,Transportation,2018-07-22,1938749.86
IHUJY,Russo SPA,Griselda Napolitano-Boccioni,Marketing Manager,Nemi,Italy,Small Business,Agriculture,2024-09-05,49082.17
ASYFU,Ghosh LLC,Jairaj Iyer,Logistics Coordinator,Patiala,India,Corporate,Technology,2023-12-04,689328.77
HGELJ,Ward PLC,Robert Arnold,Operations Manager,North Kylefort,USA,Retail,Transportation,2021-12-09,147649.78
YWKAZ,Oliveira,Davi Lucas Dias,Logistics Coordinator,Machado,Brazil,Retail,Agriculture,2021-06-28,150485.89
CGREP,惠派国际公司网络有限公司,周华,Supply Chain Manager,柳州市,China,Retail,Technology,2020-04-12,241868.73
UCCFT,Stanley Ltd,Debra May,Procurement Specialist,Jasonview,UK,Small Business,Construction,2019-06-22,59152.78
MRRDZ,Höfig,Luigi Jähn-Schmiedecke,Operations Manager,Nürtingen,Germany,Corporate,Technology,2022-10-21,924520.17
VSJIU,"David, Moore and Hopkins",Lisa Kirby,Procurement Specialist,Port Michelleland,USA,Small Business,Transportation,2018-05-05,28917.64
LBBSA,"Wise, Baker and Clark",Lisa Johnson,Order Administrator,Dawnport,Australia,Small Business,Retail,2021-08-14,232831.0
NOILM,"Sullivan, Chavez and Barker",Jason Marshall,Sales Associate,Catherinemouth,Australia,Small Business,Retail,2024-06-15,161917.32
APFPK,Wagner Kaul GmbH,Raimund Koch II-Pieper,Logistics Coordinator,Herzberg,Germany,Corporate,Manufacturing,2019-10-24,764709.22
BCWEI,Inmobiliaria MFP S.Com.,Hortensia Diana Cuesta Morán,Operations Manager,Cantabria,Spain,Corporate,Transportation,2023-09-20,551329.27
PPPJV,Serrato y Robles S.C.,Miriam Agustín Bustamante Orozco,Supply Chain Manager,San Fabiola de la Montaña,Mexico,Corporate,Manufacturing,2022-05-16,922748.45
RIGDJ,Williams Group,Sarah Chambers,Sales Representative,Amandaville,Canada,Small Business,Technology,2021-03-25,151124.33
KMNXY,Siqueira,Dr. Luiz Otávio Aparecida,Sales Representative,Aragão Verde,Brazil,Small Business,Transportation,2022-03-18,75764.52
VQWYM,Tran-Jones,Pamela Ramirez,Marketing Manager,East Theresafurt,USA,Wholesale,Agriculture,2020-10-18,391442.56
RKVMC,Pascal,Claire Philippe,Owner,Grégoire-sur-Maréchal,France,Wholesale,Healthcare,2021-09-30,236765.18
NELTT,Thomas Ltd,Dr Jayne Murphy,Procurement Specialist,West Molly,UK,Small Business,Construction,2020-05-21,32980.63
VJVBS,Mistry-Nayar,Chandani Soman,Procurement Specialist,Arrah,India,Corporate,Technology,2020-06-25,147295.62
THZLJ,Soluciones PUTG S.Coop.,Nacio Goñi-Aznar,Purchasing Manager,Cáceres,Spain,Small Business,Hospitality,2021-12-05,195029.75
VPJSQ,"Harvey, Randall and Hernandez",Amanda Vaughan,Sales Representative,East Andrewmouth,USA,Small Business,Healthcare,2021-02-20,204314.82
ONPEZ,Frías y Reguera S.Coop.,Águeda Jovita Barrios Cervera,Accounting Manager,Navarra,Spain,Corporate,Manufacturing,2020-06-08,954777.48
XVDTK,Moura,Luara Cavalcanti,Owner,Nascimento de Fernandes,Brazil,Retail,Retail,2022-02-04,176849.5
DIGVK,"Ingram, Le and Schneider",Lisa Lee,Sales Representative,West Angela,USA,Small Business,Manufacturing,2019-09-08,158814.14
BUTKT,Winkler Hövel Stiftung & Co. KG,Muharrem Tlustek MBA.,Logistics Coordinator,Neubrandenburg,Germany,Retail,Education,2020-08-12,116400.43
PWWCZ,Hervé,Sébastien Labbé,VP of Purchasing,Gilletnec,France,Government,Education,2024-02-18,1715201.86
KZVMI,Maccanelli SPA,Bernardo Naccari-Roth,Accounting Manager,Vignole Borbera,Italy,Small Business,Construction,2023-08-08,36995.59
UXTBQ,Eklund HB,Mohammed Blom,Operations Manager,Södertälje,Sweden,Corporate,Retail,2018-05-19,469221.65
YFRDQ,"Perez, Hall and Garcia",John Maldonado,Sales Representative,North Tamara,USA,Retail,Manufacturing,2025-04-30,27868.3
CRQBQ,Ladeck KGaA,Dipl.-Ing. Margarete Gute B.Eng.,Logistics Coordinator,Gütersloh,Germany,Government,Healthcare,2022-11-03,915538.79
CFCPN,Pearson and Sons,Miranda Zuniga,Operations Manager,South Nicole,USA,Corporate,Education,2019-04-27,826253.58
KDBJS,Machado e Filhos,Vicente Gaspar,Purchasing Manager,Albufeira,Portugal,Corporate,Education,2020-03-27,886939.55
UTDZD,"Rodriguez, Bird and Mitchell",Kimberly Snyder DVM,Procurement Specialist,Nelsonville,USA,Small Business,Construction,2020-06-24,164254.95
SQDKR,Mielcarek,Mina Gotthard,Marketing Manager,Wittmund,Germany,Corporate,Hospitality,2020-07-11,183012.48
SJLUG,Bradley-Todd,Scott Prince,VP of Purchasing,Robertsonland,USA,Corporate,Agriculture,2021-01-02,620949.11
HYAWW,Lopez and Sons,Timothy Smith,Marketing Manager,Youngview,Australia,Small Business,Agriculture,2025-02-24,51218.4
QUUGK,Säuberlich Ullrich KG,Francesco Söding,Marketing Manager,Ueckermünde,Germany,Small Business,Construction,2019-10-09,22397.94
AJIKV,(주) 우리,이영일,Sales Associate,제천시,South Korea,Small Business,Retail,2023-10-09,191867.85
UABGB,Thomsen & Søn ApS,Michala Lund,Owner,Glumsø,Denmark,Retail,Technology,2021-08-01,129119.6
NKSCN,Zelaya y Niño S.C.,Lic. Pablo Gamez,Supply Chain Manager,Nueva Perú,Mexico,Corporate,Hospitality,2021-05-07,344411.54
FVNKQ,Garnier,Cécile-Anne Lévy,VP of Purchasing,Renaud-les-Bains,France,Government,Hospitality,2019-03-27,689322.04
YGGYD,Margraf,Milos Haering,Supply Chain Manager,Bremen,Germany,Small Business,Manufacturing,2024-09-26,168189.5
EADAM,Baca y Rendón S.A.,Lic. María Eugenia Valle,Order Administrator,Vieja Swazilandia,Mexico,Small Business,Manufacturing,2024-01-18,45905.92
UGXUA,"Johnson, Scott and Smith",Benjamin Henderson,Sales Associate,New Virginialand,USA,Corporate,Hospitality,2025-05-23,299802.17
QMNBW,Beernaert-Heyvaert BV,Viviane Roelandt,Sales Representative,Obigies,Belgium,Small Business,Manufacturing,2020-10-21,194465.59
RCTAW,유한회사 시너지시너지기획,장유진,Owner,예산군,South Korea,Corporate,Transportation,2024-06-12,395777.67
EYAUS,华泰通安传媒有限公司,任芳,VP of Purchasing,天津县,China,Small Business,Education,2021-06-21,65824.48
IVODR,同兴万点传媒有限公司,刘红梅,Owner,兴安盟市,China,Corporate,Agriculture,2025-01-09,982343.17
BMHVI,Christiansen & Søn A/S,Univ.Prof. Nikolai Hansen,Procurement Specialist,Hundslund,Denmark,Small Business,Education,2018-07-04,54164.43
HQMPM,Machado - EI,Ana Julia da Cruz,Marketing Manager,Guerra,Brazil,Wholesale,Agriculture,2021-04-16,576349.61
AKGJV,"Robinson, Shields and Brown",Donna Cabrera,Owner,Barbaramouth,USA,Retail,Food & Beverage,2019-10-11,190937.64
THFZK,Speer GmbH & Co. OHG,Dipl.-Ing. Gerald Höfig B.Sc.,Owner,Schwäbisch Hall,Germany,Retail,Retail,2023-02-01,179354.86
XXNSJ,"Simpson, Compton and David",Rachel Flores,Logistics Coordinator,Russellport,USA,Corporate,Hospitality,2020-10-27,530156.38
KPBRD,Guajardo y Garza S.A. de C.V.,Marisol Ana Luisa Valenzuela,Accounting Manager,San Lorena los altos,Mexico,Corporate,Education,2021-12-21,929739.85
VILGY,Henk Hermighausen AG & Co. OHG,Maren Budig,Sales Representative,Kemnath,Germany,Wholesale,Construction,2018-09-11,104005.3
LIDJU,"Calderon, Williams and Bennett",Amanda Jones,Operations Manager,South Jason,USA,Small Business,Manufacturing,2024-10-18,213858.14
UHSPF,Krueger-Smith,Tonya Wilson,Order Administrator,Rochaborough,USA,Corporate,Healthcare,2020-12-21,969980.0
BHVEY,Rohleder GmbH,Hanife Mohaupt,Operations Manager,Hechingen,Germany,Small Business,Agriculture,2019-12-17,66213.89
UDAVZ,Turpin,Noël Samson,Sales Representative,Martins,France,Corporate,Technology,2020-10-11,403627.76
QPGVA,"Armenta, Valladares y García",Adriana Francisca Uribe,Purchasing Manager,San Gustavo de la Montaña,Mexico,Corporate,Transportation,2019-06-21,818833.73
WVDYB,James and Sons,Mr. Michael Scott PhD,Supply Chain Manager,Murraystad,USA,Small Business,Technology,2019-04-09,126550.97
LJXHL,Ritter,Dr. Traute Riehl B.Sc.,Sales Representative,Biedenkopf,Germany,Corporate,Construction,2025-01-30,636128.31
MWMCJ,Aguayo S.C.,Sonia Esther Barreto,Sales Associate,Nueva España,Mexico,Corporate,Agriculture,2021-10-16,286690.37
OAJSM,Colleneler-Plover,Dr. Albert Bann,Operations Manager,Alister Ville,Ireland,Small Business,Construction,2021-12-20,128086.35
EIFXU,Reising Hörle AG,Dr. Ayten Dietz,Owner,Gießen,Germany,Wholesale,Transportation,2019-06-10,408838.41
ZZCRG,"Krishnan, Pandya and Loke",Farhan Prakash,Logistics Coordinator,Jaunpur,India,Corporate,Healthcare,2022-03-27,596907.5
KYZEG,Gomes Sousa S/A,Bryan Magalhães,Order Administrator,Póvoa de Santa Iria,Portugal,Wholesale,Education,2022-02-21,687635.5
SYOOE,Walsh Ltd,Jonathan Hamilton,Operations Manager,Arielville,USA,Small Business,Retail,2024-09-15,125156.92
GFNAX,Hall Ltd,Karen Williams,Marketing Manager,Lake Saraside,USA,Wholesale,Education,2022-03-23,544779.78
VIAPX,华泰通安信息有限公司,褚建,Purchasing Manager,宇县,China,Wholesale,Education,2019-03-21,721405.09
YKCHD,Rosenow GmbH,Hanne Wende,Sales Representative,Tuttlingen,Germany,Wholesale,Technology,2023-06-06,599085.83
QEZSY,Eriksson Laine ry,Irmeli Rantanen,Order Administrator,Myrskylä,Finland,Corporate,Construction,2018-03-23,823731.52
THEAS,Ziegert Mende GmbH & Co. KGaA,Ing. Karl-Ernst Kohl MBA.,Supply Chain Manager,Tecklenburg,Germany,Small Business,Construction,2022-05-23,12933.77
XZFOY,Miller-Montgomery,Michelle Miller,Sales Representative,South Jennifer,Canada,Small Business,Hospitality,2022-10-01,63309.0
EXCSQ,Guerreiro,Bruna Baptista,Order Administrator,Oliveira do Bairro,Portugal,Small Business,Manufacturing,2021-05-02,56372.65
JUSBL,鈴木農林株式会社,山田 結衣,Sales Associate,青梅市,Japan,Retail,Technology,2021-01-21,125805.09
OCMWQ,Cichorius GmbH,Kornelius Scheuermann,VP of Purchasing,Kusel,Germany,Corporate,Transportation,2018-02-03,120023.92
HIYBE,Alvarez-Rodriguez,Sr(a). Franco Lopez,Sales Associate,San Salvador de Jujuy,Argentina,Corporate,Hospitality,2019-04-09,569693.95
CPPMA,(유) 미래월드바이오,이승현,VP of Purchasing,평창군,South Korea,Corporate,Technology,2023-11-13,199248.59
FESSS,King-Wright,Linda Gonzalez,Accounting Manager,East Kevinfurt,USA,Government,Manufacturing,2020-06-28,551341.74
OVDJL,"James, Atkins and Alexander",Rodney Curtis,Accounting Manager,West Malik,USA,Wholesale,Construction,2025-02-05,373238.09
FQZMD,Mendoza and Sons,Tracy Carter,Sales Associate,Faulknerbury,USA,Small Business,Manufacturing,2020-06-10,27328.53
EXJLG,Viana,Maria Clara Camargo,Operations Manager,Pastor,Brazil,Corporate,Manufacturing,2025-06-22,586034.26
SCRVK,Maldonado PLC,Nicholas Hahn,Supply Chain Manager,South Lauren,USA,Corporate,Food & Beverage,2024-03-25,848757.31
KNWMW,Soluciones ZGMI S.L.,Angelina Sanchez Tello,Operations Manager,Murcia,Spain,Corporate,Technology,2021-10-18,907638.34
NXURQ,"Barnes, Johnson and Schmitt",Robin Wheeler,Purchasing Manager,East Kaylastad,Australia,Retail,Transportation,2019-04-01,47355.35
ZVDLZ,Paiva e Filhos,Leonor Barros,Sales Associate,Coimbra,Portugal,Corporate,Retail,2019-12-10,842402.71
XXBKK,"Burgess, Grant and Watts",James Ford,Order Administrator,West Whitney,USA,Retail,Agriculture,2021-08-14,117248.51
UQNKK,Koninklijke Frankhuizen,Stef Jansse,Sales Representative,Nijega,Netherlands,Small Business,Construction,2020-05-03,190802.46
